img_id,img_name,img_caption
72,72.jpg,"Fork, Broccoli, Food, Vegetable, Drop, No People, Vegetarian ..."
75,75.jpg,"Food, Sweet Food, Juice, Drink, Miyagawa, Mandarin Orange, ..."
78,78.jpg,"Father, Dark, Child, Daughter, Holding, Light - Natural ..."
81,81.jpg,"Banking, Blue, Business, Finance, Abstract, Symbol, Sign, Europe, ..."
84,84.jpg,"Men, Male, Cheerful, Loving, Female, Women, Beautiful, Fashion, ..."
87,87.jpg,"Rodent, Animal, Animals And Pets, Nature, Squirrel, Tail, ..."
90,90.jpg,"Portrait, Holiday, Women, Female, Shopaholic, Sale, Beautiful, White, ..."
93,93.jpg,"Food, Isolated On Black, Buffet, Banquet, wedding food, ..."
96,96.jpg,"Ice Cream, Lunch, Freshness, Heat - Temperature, Meat, ..."
99,99.jpg,"Meat, Sausage on a Stick, Snack, Barbecue, Stick ..."
102,102.jpg,"Red, Meal, Seafood, Sesame, Sushi, Gourmet, Freshness, Caviar, ..."
105,105.jpg,"Cucumber, Fork, Pink Color, Red, Salad, Onion, Lunch, ..."
108,108.jpg,"Child, Adult, African Descent, Offspring, Portrait, Women, Teenager, ..."
111,111.jpg,"Merchandise, Salted, Meal, Gourmet, Appetizer, Prosciutto, Cooked, Close-up, ..."
114,114.jpg,"Fruit, Restaurant, Menu, Recruitment, Cheese, Cake, Food, Ilustration, ..."
117,117.jpg,"Pearl Onion, Vegetable, Dinner, Meal, Pepper, browned, Broccoli, ..."
120,120.jpg,"Cinnamon, Close-up, Spice, Food, Isolated, Nature, Brown, Stick ..."
123,123.jpg,"Prepared Fish, Sesame, Sushi, Salmon, Tuna, Food, Maki ..."
126,126.jpg,"Finance, Briefcase, Success, Three-dimensional Shape, Diagram, Market, Digitally ..."
129,129.jpg,"Meat, Sweet Food, Dinner, Lunch, Cultures, Meal, Thai ..."
132,132.jpg,"Cultures, Barbecue, Dinner, Lunch, Meat, Raw Food, Stuffed, ..."
135,135.jpg,"Jasmine, Macro, Leaf, Flower, Plant, Outdoors, Blue, No ..."
138,138.jpg,"Pasta, Emilia-Romagna, Dinner, Cheese, Plate, Food, Cultures, Freshness, ..."
141,141.jpg,"Young Family, Baby, Men, Mother, Women, Father, Child, ..."
144,144.jpg,"Freshness, Gourmet, Meat, Food, Dieting, Ham, Delicatessen, Pink ..."
147,147.jpg,"Kitten, Domestic Cat, Feline, Animal, Cats, Animals And ..."
150,150.jpg,"Dog, Puppy, Cub, Young Animal, Wolf, Wolf Cub, ..."
153,153.jpg,"Chef, Pizza, Assistance, Cartoon, Food, Italian Culture, Men, ..."
156,156.jpg,"Dessert, Greeting, Drink, Food, Valentine's Day, Pan Cake, ..."
159,159.jpg,"Sausage, Fork, Image, Close-up, Tomato, Selective Focus, Studio ..."
162,162.jpg,"Food, Vine, Fruit, Grape"
165,165.jpg,"Mammal, Animal, Eurasian Wolf, Bitch, Canine, Animal Head, ..."
168,168.jpg,"Champagne, Drink, Food And Drink, Drinks, Alcohol, Close-up, ..."
171,171.jpg,"Business, Human Hand, Meeting, Calculator, Reaching, Manager, Image ..."
174,174.jpg,"Deer, Antler, Human Face, Hoofed Mammal, Mammal, L ..."
177,177.jpg,"Portrait, Fashion, Women, Female, Facial Expression, Sex Symbol, ..."
180,180.jpg,"Wine, Pouring, Alcohol, Alcohol, Food And Drink, Drinks, ..."
183,183.jpg,"Vegetable, Lettuce, Close-up, Green Color, Salad, Lunch, Crockery, ..."
186,186.jpg,"Carrot, Green Color, Vegetable, Food, Isolated, Cauliflower, Green ..."
189,189.jpg,"Pasta, Restaurant, Cultures, Freshness, Lunch, Italian Culture, Dinner, ..."
192,192.jpg,"Breakfast, Salad, Lunch, Sausage, Food, Meat, Vegetable, Tomato, ..."
195,195.jpg,"Olive, Bean, Vegetable, Sesame, Red Bell Pepper"
198,198.jpg,"Pepper, Prepared Fish, Salmon, Cucumber, Ingredient, Food State, ..."
201,201.jpg,"Nurse, Serious, Doctor, Hospital, Healthcare And Medicine, Greeting, ..."
204,204.jpg,"Dessert, Plate, Cake, Pastry, Baked, Cupcake, Muffin, White ..."
207,207.jpg,"Bread, Sausage, Lentil, Slice, Food, Plate, Isolated On ..."
210,210.jpg,"Women, Vietnamese Ethnicity, Female, Men, Group Of People, ..."
213,213.jpg,"Lemon, Fruit, Bizarre, No People, Gourmet, Yellow, Single ..."
216,216.jpg,"Horse, Animal, Animals And Pets, Mammals, Mammal, Farm ..."
219,219.jpg,"Dinner, Refreshment, Lunch, Vegetable, Cultures, Snack, Dieting, Cheese, ..."
222,222.jpg,"Women, Female, Sex Symbol, Fine Art Portrait, Portrait, ..."
225,225.jpg,"Fruit, Freshness, Food, Vegetable, Cherry Tomato, Healthy Eating, ..."
228,228.jpg,"Men, Breast, Female, Women, Torso, Embracing, The Human ..."
231,231.jpg,"Tax Form, Tax, Business, Banking, Investment, Frequency, Law, ..."
234,234.jpg,"Portrait, Posing, Women, Female, Sex Symbol, Fashion, Beautiful, ..."
237,237.jpg,"Caviar, Appetizer, Eggs, Eggs Mimosa, Eat, Crockery, Dinner, ..."
240,240.jpg,"Tomato, Pasta, Napkin, Parsley, Gourmet, Freshness, Food, Lettuce, ..."
243,243.jpg,"Food, Pasta, Plate, Crockery, Meal, Bolognese Sauce, Spaghetti, ..."
246,246.jpg,"Snail, Insect, Animal Shell, Animals In The Wild, ..."
249,249.jpg,"Vegetable, Bell Pepper, Meal, Food, Cooking"
252,252.jpg,"Pastry, Baked, Dessert, Blueberry, Cheesecake, Cross Section, Cream, ..."
255,255.jpg,"Blossom, Blossoming, Branch, Single Flower, Flower, Cherry Blossom, ..."
258,258.jpg,"Internet, Computer, Technology, Design, Computer Monitor, Backgrounds, Business, ..."
261,261.jpg,"Music, Musical Note, Jazz, Backgrounds, Sound, Abstract, Singing, ..."
264,264.jpg,"Underwater, Reef, School of Fish, Sea Life, Saltwater ..."
267,267.jpg,"Blossom, Tree, Cherry Blossom, White, Cherry Tree, Blowing, ..."
270,270.jpg,"Mother, Baby, Newborn, Holding, Pride, Isolated, Women, Parent, ..."
273,273.jpg,"Savings, Currency, Bank Account, $, Road Sign, Cloud ..."
276,276.jpg,"Pepper, Spice, Grained, Black Color, Backgrounds, Condiment, Seasoning, ..."
279,279.jpg,"Bamboo, Lucky Bamboo, Bamboo, Isolated, Leaf, White, Flower, ..."
282,282.jpg,"Landscape, Field, Landscaped, Germany, Barley, Green Color, Hill, ..."
285,285.jpg,"Marathon, Running, Jogging, Triathlon, Road Running, Sports Shoe, ..."
288,288.jpg,"Wine, Wineglass, Pouring, Red, Glass, Service, dinning, Flowing, ..."
291,291.jpg,"Sound, Music, Volume, Humor, Afro, Men, Singing, Bass, ..."
294,294.jpg,"Lettuce, Salad, Vegetable Garden, Freshness, Growth, Plant, Dirt, ..."
297,297.jpg,"Italian Cuisine, Pasta, Seafood, Spaghetti, Pesto Sauce, Linguini, ..."
300,300.jpg,"Champagne, Celebratory Toast, Wine, Blue, Food, Surreal, Glass, ..."
303,303.jpg,"Space, Galaxy, Star Shape, Vector, Star - Space, ..."
306,306.jpg,"Shopping, Retail, Little Girls, Cool, Fun, Posing, Women, ..."
309,309.jpg,"Baby, Child, Eating, Organic, Orange - Fruit, Food, ..."
312,312.jpg,"Pancake, Cheese, Fruit, Dessert, Syrup, Cream, Gourmet, Sweet ..."
315,315.jpg,"Butter, Bread, Table, Breakfast, Coffee - Drink, Eggs, ..."
318,318.jpg,"Paw, Dog, Animal Foot, Hunting Dog, Laziness, Gordon ..."
321,321.jpg,"Road, Highway, Road Marking, Winding Road, Street, Curve, ..."
324,324.jpg,"Sausage, Barbecue Grill, Barbecue, Heat - Temperature, Fork, ..."
327,327.jpg,"Coral, Reef, Tropical Fish, Sea Life, Tropical Climate, ..."
330,330.jpg,"Baby, Portrait, Fine Art Portrait, Human Face, Human ..."
333,333.jpg,"Child, Teenager, Depression - Sadness, Sadness, Skateboarding, Skateboard, ..."
336,336.jpg,"Furniture, Isometric, Bed, Table, Sofa, Chair, Cabinet, Dresser, ..."
339,339.jpg,"Credit Card, Bill, bookeeping, Balance, Police Statement, Tax, ..."
342,342.jpg,"Pasta, Penne, Food, Plate, Restaurant, Autumn, Meal, Dinner, ..."
345,345.jpg,"Baby, African Ethnicity, Toddler, African Descent, Child, Standing, ..."
348,348.jpg,"Women, Teenager, Smiling, Moving Up, Close To, Closed, ..."
351,351.jpg,"Meeting, Silhouette, Business, Office Worker, Seminar, Group Of ..."
354,354.jpg,"Lilac, Flower, Purple, Purple Lilac, Backgrounds, Macro, Nature, ..."
357,357.jpg,"Calf, Cow, Young Animal, Brown, White, Animal, Animal ..."
360,360.jpg,"Breakfast Cereal, Banana, Milk, Oat, Breakfast, Nut - ..."
363,363.jpg,"Men, Male, Abdominal Muscle, Sex Symbol, Fashion Model, ..."
366,366.jpg,"Pie, Cheese, Vegetable, Tomato, Tiramisu, Pastry, Pork Pie, ..."
369,369.jpg,"Light - Natural Phenomenon, Food, Sandwich, Olive, Lightweight, ..."
372,372.jpg,"Currency, Calculator, dividends, Interest Rate, Gambling, businessmans, Debt, ..."
375,375.jpg,"Refinery, Factory, Pipe - Tube, Power Station, Petrochemical ..."
378,378.jpg,"Kitten, Domestic Cat, Fur, Meowing, Animal, Claw, Animals ..."
381,381.jpg,"Shark, Water, Underwater, Deep, Fish, Sea, Bubble, Lake, ..."
384,384.jpg,"Cupcake, Valentine's Day - Holiday, Cake, Heart Shape, ..."
387,387.jpg,"Pizza, Chef, Cartoon, Making, Italian Culture, Cooking, Spinning, ..."
390,390.jpg,"Wine, Red, Food, Glass, Grape, Fruit, Bread, Drink, ..."
393,393.jpg,"Graph, Moving Down, Chart, Moving Up, Marketing, Backgrounds, ..."
396,396.jpg,"Leather, Sofa, Furniture, Living Room, Brown, No People, ..."
399,399.jpg,"Baby, Child, Multi-Ethnic Group, African Descent, Playing, Toy, ..."
402,402.jpg,"Zebra, Animal, Safari Animals, Africa, Wildlife, Striped, Namibia, ..."
405,405.jpg,"Bulldog, Dog, Cigar, Gang Member, Macho, Humor, Toughness, ..."
408,408.jpg,"Pizza, Hamburger, Fast Food, Wrap Sandwich, Hot Dog, ..."
411,411.jpg,"Men, People, Denmark, City Life, Urban Scene, Sunglasses, ..."
414,414.jpg,"Family, Clip Art, Child, Pre-Adolescent Child, Father, Mother, ..."
417,417.jpg,"Cheese, Mozzarella, Shredded, Grated, Backgrounds, Edam, Sprinkles, Sauces, ..."
420,420.jpg,"Senior Adult, Nurse, Doctor, Patient, Nursing Home, Community, ..."
423,423.jpg,"Lunch, Pizza, Office Interior, Group Of People, Eating, ..."
426,426.jpg,"Salad, Pumpkin, Lentil, Roasted, Arugula, Autumn, Pepita, Goat ..."
429,429.jpg,"Galaxy, Space, Star Field, Vector, Nebula, Multi Colored, ..."
432,432.jpg,"Disco, Dancing, Disco Dancing, Backgrounds, Nightclub, Party - ..."
435,435.jpg,"Camouflage, Camouflage Clothing, Military, Backgrounds, Army, Pattern, Flag, ..."
438,438.jpg,"Elephant, Animal, Intelligence, Paint, Paintings, Painted Image, Thailand, ..."
441,441.jpg,"Coconut, Mango, Tropical Fruit, Isolated, White Background, Fruit, ..."
444,444.jpg,"Airplane, Flying, Training Class, Small, Air Vehicle, Sport, ..."
447,447.jpg,"Men, Women, Human Face, Asian Ethnicity, Stroking, Passion, ..."
450,450.jpg,"CEO, Businessman, White Background, Red, Cut Out, Tie, ..."
453,453.jpg,"Men, People, Smart Phone, Mobile Phone, Text Messaging, ..."
456,456.jpg,"Film, Movie, Camera Film, Film Reel, 35mm, Frame, ..."
459,459.jpg,"Child, Family, Clown, Circus, Party - Social Event, ..."
462,462.jpg,"Patient, Doctor, Senior Adult, Doctor's Office, Mature Adult, ..."
465,465.jpg,"Frog Prince, Frog, Animal, Aquarium, Plant, Looking, Zoo, ..."
468,468.jpg,"Road, Multiple Lane Highway, Car, Transportation, Highway, Sports ..."
471,471.jpg,"Student, University, Campus, Ethnic, Asian Ethnicity, College Student, ..."
474,474.jpg,"Capsule, Pill, Vitamin Pill, Yellow, Nutrient, Dairy Product, ..."
477,477.jpg,"Movie, Film, Film Reel, Television Set, Film Industry, ..."
480,480.jpg,"Geranium, Flower, Single Flower, Pink Color, Close-up, Bud, ..."
483,483.jpg,"Gladiolus, Flower, Single Flower, Floral Pattern, Iris, Isolated, ..."
486,486.jpg,"Panda, Bear, Drawing - Art Product, Flag, China ..."
489,489.jpg,"Doctor, Nurse, Medical Occupation, Senior Adult, Healthcare And ..."
492,492.jpg,"Divorce, Child, Family, Parent, Depression - Sadness, Sadness, ..."
495,495.jpg,"Mother, Child, Consoling, Naked, Comfortable, Son, Family, Little ..."
498,498.jpg,"Currency, Growth, Business, Stack, Budget, Steps, Graph, Paper ..."
501,501.jpg,"Digital Tablet, Student, Education, University, Two People, Lecture ..."
504,504.jpg,"Cocktail, Drink, Martini, Mixing, Black Color, Cosmopolitan Cocktail, ..."
507,507.jpg,"Walking, Student, Education, University, Campus, African Ethnicity, Backpack, ..."
510,510.jpg,"Checklist, Nurse, Doctor, Pill, Medical Student, Female, Training ..."
513,513.jpg,"Macaroni, Carbonara Sauce, Pasta, Plate, Meal, Refreshment, Sauces, ..."
516,516.jpg,"Cocktail, Drink, Invitation, Bar - Drink Establishment, Martini, ..."
519,519.jpg,"Running, Marathon, Jogging, Group Of People, Sports Shoe, ..."
522,522.jpg,"Dahlia, Flower, Single Flower, Black Color, Pink Color, ..."
525,525.jpg,"Coupon, Currency, Shopping, Tax, Store, economical, Coin, Wealth, ..."
528,528.jpg,"Finance, Backgrounds, Business, Number, Graph, Financial Figures, Chart, ..."
531,531.jpg,"Gardening, Flower, Planting, Single Flower, Flower Pot, Pansy, ..."
534,534.jpg,"Men, Male, 30-34 Years, Casual Clothing, Smiling, Elegance, ..."
537,537.jpg,"Shopping Cart, Shopping, Savings, Sale, Store, Buying, Trading, ..."
540,540.jpg,"Currency, Dollar, Rear View, Macro, Close-up, Eagle - ..."
543,543.jpg,"Flour, Wheat, Whole Wheat, Cereal Plant, Wholegrain, Wood ..."
546,546.jpg,"Tomato, Vegetable, Wet, Drop, Close-up, Ripe, Clean, Organic, ..."
549,549.jpg,"Serious, Men, Portrait, Male, Isolated, Human Face, Head ..."
552,552.jpg,"Chef, Restaurant, African Descent, Cooking, Young Adult, Uniform, ..."
555,555.jpg,"Coffee - Drink, Cake, Chocolate, Dessert, Torte, Tea ..."
558,558.jpg,"Spaghetti, Italy, Garlic, Ethnic, Beef, Dining, Pork, Sauces, ..."
561,561.jpg,"Asking, Teenager, Women, Female, Human Eye, White Background, ..."
564,564.jpg,"Yacht, Yacht, Silhouette, Back Lit, Luxury, Cruise, Nautical ..."
567,567.jpg,"Priest, Bible, Minister, Clergy, Smiling, Holding, Laughing, Clerical ..."
570,570.jpg,"Plastic Surgery, Men, Male, Women, Wrinkled, Aging Process, ..."
573,573.jpg,"Sadness, Child, Mother, Parent, One Parent, Consoling, Family, ..."
576,576.jpg,"Seedling, Tree, Evergreen Tree, Spruce Tree, Deforestation, Alberta, ..."
579,579.jpg,"Reading, Parent, Child, Family, Domestic Room, Homework, Book, ..."
582,582.jpg,"Senior Adult, Daughter, Parent, Father, Senior Men, Aging ..."
585,585.jpg,"Chef, Milk, Cooking, Stirring, Mixing, Cake, Measuring Cup, ..."
588,588.jpg,"Business, Meeting, Smart Casual, Financial Figures, Number, African ..."
591,591.jpg,"Jamaica, People, Male, Men, rastafarianism, Rastafarian, Dreadlocks, African ..."
594,594.jpg,"Male, Teenager, Sunglasses, Asian Ethnicity, Ethnic, Meeting, Chinese ..."
597,597.jpg,"Homelessness, Dinner, Food, Lunch, Chili, Assistance, Ready-To-Eat, Soup, ..."
600,600.jpg,"Women, Isolated, Teenager, Sitting, Female, Chair, Ecstatic, Cheerful, ..."
603,603.jpg,"Mother, Baby, Isolated, Fun, One Person, Bonding, Parent, ..."
606,606.jpg,"Budget, Organization, Plan, Planning, Personal Organizer, Wealth, Data, ..."
609,609.jpg,"Doctor, Nurse, Distraught, Pain, Problems, Healthcare And Medicine, ..."
612,612.jpg,"Dog, Puppy, Sleeping, Shar-Pei, Delaware, Basket, Guard Dog, ..."
615,615.jpg,"St. Lucia, Mountain, Caribbean, Island, Rock - Object, ..."
618,618.jpg,"Owl, Bird, Feather, Beak, Animals And Pets, Nature, ..."
621,621.jpg,"Snail, Lizard, Touching, Young Animal, Animal Leg, Comfortable, ..."
624,624.jpg,"Laughing, Nurse, Medicine, Doctor, Red, Stethoscope, Scrubs, Brown ..."
627,627.jpg,"Surgery, Surgeon, Operating, Low Angle View, Protective Mask ..."
630,630.jpg,"Vase, Orchid, Beauty In Nature, Black Color, Bowl, ..."
633,633.jpg,"Women, Female, Exoticism, Sensuality, Beauty, Human Face, Fashion ..."
636,636.jpg,"Meeting, Indian Culture, Businesswoman, Indonesian Ethnicity, Business, Computer, ..."
639,639.jpg,"Connection, Father, Child, Parent, Comfortable, Family, Son, Carrying, ..."
642,642.jpg,"Doctor, Patient, Writing, Mature Adult, Medical Exam, Healthcare ..."
645,645.jpg,"Carbonara Sauce, Spaghetti, Pasta, Food, Crockery, Bowl, Bacon, ..."
648,648.jpg,"Graduation, Diploma, University, Congratulating, Student, High School, Graduation ..."
651,651.jpg,"Caprese Salad, Mozzarella, Cheese, Dinner, Italian Cuisine, Salad, ..."
654,654.jpg,"Trust, Teamwork, Team, Cooperation, Dedication, Black And White, ..."
657,657.jpg,"Oven, Bread, Food, Baking, Domestic Kitchen, Food And ..."
660,660.jpg,"Animal, Monkey, cuty, Though, Animals And Pets, Fur, ..."
663,663.jpg,"Violin, Music, Candle, Sheet Music, Theatrical Performance, Candlestick ..."
666,666.jpg,"Squirrel, Animal, Squirrel Family, Animal Themes, Animals And ..."
669,669.jpg,"Animal, Feline, handcarves, Animals And Pets, Cats, People, ..."
672,672.jpg,"Human Hand, Baby, Child, Father, Holding, Adult, Men, ..."
675,675.jpg,"Business, Team, Business Person, Cheering, Multi-Ethnic Group, Group ..."
678,678.jpg,"Teenager, Young Adult, Men, Scarf, Male, Human Face, ..."
681,681.jpg,"Power, Cable, Fuel and Power Generation, Three-dimensional Shape, ..."
684,684.jpg,"Soup, Food, Onion Soup, Crockery, Cooking Pan, Gourmet, ..."
687,687.jpg,"Team, Business, Professional Occupation, Young Adult, Business Person, ..."
690,690.jpg,"Babyface, Baby, Toddler, Child, White, Offspring, Diaper, 15-18 ..."
693,693.jpg,"Edible Mushroom, Mushroom, Steak, Beef, Tenderloin, Rosemary, Food, ..."
696,696.jpg,"Flower, Watercolor Painting, Dahlia, Painted Image, Chrysanthemum, Red, ..."
699,699.jpg,"Budget, Calculator, Home Finances, Horizontal, Envelope, Close-up, Women, ..."
702,702.jpg,"Judaism, Christianity, Historical Palestine, Jerusalem, Cultures, Zion - ..."
705,705.jpg,"Rx, Prescription, Pill, Capsule, Note Pad, Prescription Medicine, ..."
708,708.jpg,"Teenager, Child, Washing Dishes, Housework, Chores, Exhaustion, Dishwasher, ..."
711,711.jpg,"Macaroni And Cheese, Cheese, Macaroni, Fork, Pre-Packaged Food, ..."
714,714.jpg,"Softball, Family, Child, Parent, Black Color, Communication, Mother, ..."
717,717.jpg,"Market, Wealth, Global Communications, Global Business, Globe - ..."
720,720.jpg,"Shopping, Retail, Senior Couple, Senior Women, Senior Adult, ..."
723,723.jpg,"Pasta, Food, Italian Cuisine, Food And Drink, Italy, ..."
726,726.jpg,"Herd, Deer, White-Tailed Deer, Doe, Wildlife, Brown, Tree, ..."
729,729.jpg,"mettwurst, Food, Bread, Sausage, German Cuisine, Spread, Pink ..."
732,732.jpg,"Beetle, Insect, Worm, Insects, Isolated Objects, Cetonidae, Animals ..."
735,735.jpg,"Champagne, Sushi, Pouring, Tibetan Culture, Salt, Gourmet, Wasabi ..."
738,738.jpg,"Men, Male, Body, Sweat, Fashion Model, Exercising, Sex ..."
741,741.jpg,"Monastery, Thai Flag, Buddhism, Ko Samui, Buddha, Overweight, ..."
744,744.jpg,"Fruit, Breakfast Cereal, Gourmet, Blackberry, Wheat, Isolated, Whole ..."
747,747.jpg,"Internet, Cable, Computer Cable, Bandwidth, Fiber Optic, Network ..."
750,750.jpg,"Daisy, Flower, Black And White, Dirty, Floral Pattern, ..."
753,753.jpg,"Vegetable, Rustic, Carrot, Wood - Material, Food, Bunch, ..."
756,756.jpg,"Finance, Investment, Forecasting, Newspaper, Pen, Chart, Business, Financial ..."
759,759.jpg,"Women, Close-up, Female, Eyes Closed, Teenager, Mouth Open, ..."
762,762.jpg,"Plastic, Factory, Manufacturing, Machinery, Industry, Machine Part, Injection ..."
765,765.jpg,"Nurse, Patient, Medical Exam, Cartoon, Clipboard, Hospital, Doctor, ..."
768,768.jpg,"Dandelion, Flower, Trentino-Alto Adige, Nature, European Alps, Green ..."
771,771.jpg,"Spaghetti, Pasta, 7-Grain Bread, Isolated, Whole Wheat, Dry, ..."
774,774.jpg,"Cow, Livestock, Cattle, Grazing, Dairy Farm, Grass, Non-Urban ..."
777,777.jpg,"Saint Bernard, Puppy, Dog, Animal, Domestic Animals, Animals ..."
780,780.jpg,"Mango, Mulberry, Melon, Peach, Pineapple, Pomegranate, Pear, Fruit, ..."
783,783.jpg,"Marketing, Business, Organization Chart, Planning, Plan, Paperwork, Graph, ..."
786,786.jpg,"Islam, Christianity, Tattoo, Wrist, Sikhism, Loyalty, Ideas, Inspiration, ..."
789,789.jpg,"Growth, Wealth, Investment, Savings, Paper Currency, One Hundred ..."
792,792.jpg,"Garlic, Peeled, Onion, Cutting Board, Vegetable, Kitchen Utensil, ..."
795,795.jpg,"Women, Men, Heterosexual Couple, Muscular Build, Embracing, Couple, ..."
798,798.jpg,"Pig, Animal, Cute, Three-dimensional Shape, Cartoon, Ilustration, Meat ..."
801,801.jpg,"Rock and Roll, Music, Guitar, Guitarist, Grunge, Pattern, ..."
804,804.jpg,"Wine, Wineglass, Corkscrew, Cork, Grape Leaf, Wine Bottle, ..."
807,807.jpg,"Iconostasis, Orthodox, Church, Religion, Gold Colored, Mural, Spirituality, ..."
810,810.jpg,"University, Student, African Descent, Cut Out, African Ethnicity, ..."
813,813.jpg,"Women, Blond Hair, Baby, Patriotism, Family, Fourth of ..."
816,816.jpg,"Football, Soccer, Cartoon, Sport, Go - Single Word, ..."
819,819.jpg,"Jar, Flower, Sunflower, Bouquet, Happiness, Daisy, Smiling, Petal, ..."
822,822.jpg,"Seed, Tree, Maple Tree, Wing, Plants, Nature, Gardening, ..."
825,825.jpg,"Hamburger, Burger, Beef, Large, Lettuce, Sandwich, Cheeseburger, Unhealthy ..."
828,828.jpg,"Horse, Foal, Young Adult, Latin American and Hispanic ..."
831,831.jpg,"Orchestra, Sound, Treble Clef, Musical Note, Backgrounds, Music, ..."
834,834.jpg,"Grandfather, Men, Human Face, Cartoon, Cheerful, Happiness, Eyeglasses, ..."
837,837.jpg,"Women, Men, Looking Up, Heterosexual Couple, Mid Adult ..."
840,840.jpg,"Bacon, Cheese, Eggs, Bun, Croissant, Breakfast, Bagel, Omelet, ..."
843,843.jpg,"Sandwich, Wheat, Italian Culture, Healthcare And Medicine, French ..."
846,846.jpg,"Pesto Sauce, Mozzarella, Tomato, Salad, Basil, Cheese, Lunch, ..."
849,849.jpg,"Young Family, Child, Baby, Women, Indoors, Family, Elephant, ..."
852,852.jpg,"Walking, Family, Mother, People, Candid, Child, Women, Togetherness, ..."
855,855.jpg,"Gnocchi, Pasta, Lunch, Meat, Dumpling, Plate, Restaurant, Photography, ..."
858,858.jpg,"Hamburger, Drink, Pub Food, Burger, American Cuisine, Rustic, ..."
861,861.jpg,"Sea, Cliff, Rock - Object, Wave, starke, Landscape, ..."
864,864.jpg,"Meeting, Business, Silhouette, Desk, Occupation, Computer Monitor, People, ..."
867,867.jpg,"Stadium, Soccer, Soccer Ball, Soccer Player, Silhouette, Bleachers, ..."
870,870.jpg,"Food, Tomato, Wet, Group of Objects, Freshness, Vegetable, ..."
873,873.jpg,"Toddler, Human Leg, Mother, 15-18 Months, Child, Cheerful, ..."
876,876.jpg,"Tomato, Vegetable, Horizontal, Studio Shot, Ripe, Food, Raw ..."
879,879.jpg,"Meat, Sausage, Delicatessen, Slice, Freshness, Cheese, Breakfast, No ..."
882,882.jpg,"Pasta, Packaging, Vegetable, Backgrounds, Spice, Speed, White, Residential ..."
885,885.jpg,"Dinner, Dating, Wine, Beer Glass, Restaurant, Symbol, Beer ..."
888,888.jpg,"Mango, Food, Isolated, Ripe, Cube Shape, Vegetarian Food, ..."
891,891.jpg,"Puppy, Dog, Defecating, Wrinkled, No People, One Animal, ..."
894,894.jpg,"Watercolor Painting, Food, Fork, Vegetable, Red, Fruit Flesh, ..."
897,897.jpg,"Champagne, Party - Social Event, Buffet, Wedding Reception, ..."
900,900.jpg,"Lab Coat, Doctor, Pill, Capsule, Holding, Asian Ethnicity, ..."
903,903.jpg,"Family, Photography, Teenager, Two People, Daughter, Mother, Breakfast, ..."
906,906.jpg,"Jazz, Drum, Music, Musical Band, Guitar, Catwalk - ..."
909,909.jpg,"Dahlia, Leaf, Flowers, Studio Short, Nature, Flower, Beauty ..."
912,912.jpg,"Elephant, Group Of Animals, Herd, Africa, Animal, Mammal, ..."
915,915.jpg,"Cutting, Vegetable, Celery, Salad, Fruits And Vegetables, Food ..."
918,918.jpg,"Pill, Capsule, Box - Container, Birth Control Pill, ..."
921,921.jpg,"Gun, Handgun, White Background, Semi-Automatic Pistol, Horizontal, Safety, ..."
924,924.jpg,"Tomato, Soup, Plate, Sauces, Canned Food, Vegetable, Vine, ..."
